iter	RMSE
0	69695.93804
1	66209.29476
2	62993.72561
3	60074.45429
4	57813.36475
5	55695.27552
6	53471.26214
7	51648.51007
8	49730.08749
9	48233.89954
10	46885.20591
11	44920.02139
12	43558.8638
13	42337.36352
14	41249.25386
15	40228.55367
16	39440.82358
17	38674.85303
18	37717.99525
19	36851.97957
20	36258.86391
21	35699.7909
22	34641.08258
23	34114.25576
24	33513.40898
25	33063.29341
26	32612.85406
27	32005.66186
28	31617.06577
29	30813.797
30	30182.72328
31	29853.8412
32	29683.15305
33	29409.8224
34	29090.30118
35	28239.36273
36	27779.40498
37	27249.53883
38	26996.92075
39	26673.44889
40	26390.85354
41	25968.34997
42	25347.53168
43	25074.75266
44	24918.54751
45	24657.75942
46	24466.18456
47	24337.21086
48	24213.10523
49	24014.51586
50	23834.50664
51	23661.19541
52	23386.78908
53	23177.28221
54	22982.56872
55	22729.25169
56	22542.45924
57	22492.95274
58	22198.96956
59	21851.6638
60	21690.03043
61	21597.68347
62	21513.55865
63	21410.19526
64	21198.54044
65	21077.40427
66	20953.61359
67	20760.59294
68	20712.47258
69	20536.2769
70	20467.94313
71	20110.04659
72	20046.97192
73	19924.60333
74	19804.939
75	19633.96325
76	19561.06126
77	19412.15344
78	19334.32842
79	19261.6776
80	19101.27006
81	19045.5575
82	18908.14324
83	18794.51729
84	18739.28184
85	18492.94997
86	18394.06923
87	18320.58881
88	18157.05689
89	17972.06032
90	17889.47041
91	17816.08713
92	17735.36837
93	17671.60029
94	17603.52997
95	17564.01506
96	17437.58079
97	17311.22457
98	17222.46561
99	17169.38853
100	17094.70668
101	17015.04159
102	16910.70893
103	16852.99195
104	16794.76765
105	16696.5964
106	16650.45176
107	16601.49866
108	16516.14004
109	16417.11323
110	16336.86844
111	16242.82026
112	16174.67854
113	16074.1614
114	16008.97779
115	15956.71039
116	15838.35372
117	15747.60773
118	15680.44002
119	15648.39389
120	15563.57097
121	15510.32385
122	15441.26961
123	15393.1178
124	15347.46716
125	15274.28786
126	15229.94287
127	15177.31151
128	15093.18887
129	15045.90609
130	14967.29237
131	14900.9508
132	14798.12801
133	14749.30485
134	14728.19269
135	14660.48324
136	14578.16283
137	14537.5897
138	14466.75074
139	14389.20161
140	14327.69976
141	14251.2338
142	14175.11864
143	14141.90198
144	14102.00576
145	14081.48433
146	14047.0081
147	14007.47996
148	13994.43236
149	13953.40025
150	13926.52171
151	13913.31843
152	13862.58741
153	13817.00214
154	13764.95338
155	13714.22743
156	13654.6118
157	13595.30827
158	13509.55253
159	13468.1744
160	13417.09833
161	13364.40501
162	13296.69157
163	13249.11833
164	13194.01592
165	13151.87297
166	13110.00579
167	13058.14576
168	13000.99221
169	12940.1484
170	12866.96084
171	12802.96243
172	12760.7171
