iter	Passed	Remaining
0	2	1313
1	5	1307
2	8	1364
3	10	1328
4	13	1307
5	15	1289
6	17	1266
7	20	1266
8	23	1269
9	25	1266
10	28	1268
11	31	1281
12	34	1275
13	36	1266
14	39	1264
15	41	1269
16	44	1267
17	47	1267
18	49	1256
19	52	1254
20	54	1250
21	57	1241
22	59	1242
23	62	1239
24	64	1231
25	67	1229
26	69	1220
27	72	1219
28	75	1219
29	77	1215
30	80	1211
31	82	1205
32	84	1196
33	87	1192
34	89	1190
35	92	1188
36	94	1185
37	97	1187
38	100	1183
39	102	1178
40	105	1175
41	107	1172
42	110	1169
43	112	1165
44	115	1163
45	117	1162
46	120	1161
47	122	1158
48	125	1154
49	128	1153
50	131	1153
51	133	1152
52	136	1150
53	139	1150
54	141	1146
55	144	1145
56	146	1141
57	148	1130
58	150	1126
59	153	1124
60	155	1122
61	158	1119
62	161	1120
63	164	1118
64	166	1113
65	168	1109
66	171	1108
67	174	1107
68	176	1102
69	178	1097
70	181	1095
71	183	1092
72	186	1088
73	188	1085
74	191	1082
75	193	1081
76	196	1077
77	198	1074
78	201	1071
79	203	1069
80	206	1068
81	208	1065
82	211	1062
83	214	1060
84	216	1058
85	219	1055
86	221	1053
87	224	1050
88	227	1049
89	229	1046
90	232	1043
91	234	1039
92	236	1036
93	239	1033
94	241	1028
95	243	1026
96	246	1024
97	249	1021
98	251	1018
99	253	1015
100	256	1013
101	259	1012
102	262	1009
103	264	1008
104	267	1006
105	270	1004
106	272	1002
107	275	999
108	278	997
109	281	996
110	283	994
111	285	990
112	288	988
113	291	986
114	293	983
115	296	981
116	299	978
117	301	976
118	303	973
119	306	970
120	308	967
121	311	965
122	314	963
123	316	959
124	318	956
125	321	953
126	323	950
127	326	947
128	328	944
129	330	941
130	333	939
131	336	937
132	338	935
133	341	933
134	344	930
135	347	928
136	349	925
137	351	923
138	355	922
139	358	922
140	361	920
141	363	917
142	366	915
143	369	912
144	371	910
145	374	907
146	377	905
147	379	902
148	382	900
149	384	897
150	387	895
151	389	891
152	392	889
153	394	886
154	397	883
155	399	881
156	402	879
157	405	877
158	407	874
159	410	872
160	413	869
161	415	866
162	417	864
163	420	861
164	423	858
165	425	856
166	428	853
167	430	851
168	433	849
169	436	846
170	438	843
171	441	841
172	443	838
173	446	836
174	449	833
175	451	830
176	453	828
177	456	824
178	458	822
179	461	819
180	463	817
181	466	814
182	468	812
183	471	809
184	473	806
185	476	804
186	479	801
187	481	799
188	484	796
189	487	794
190	489	792
191	491	789
192	494	786
193	496	783
194	499	781
195	501	778
196	504	775
197	507	773
198	509	770
199	511	767
200	514	764
201	516	762
202	519	760
203	521	757
204	524	754
205	526	751
206	528	748
207	531	746
208	534	743
209	536	741
210	539	739
211	542	736
212	544	733
213	546	730
214	549	728
215	552	726
216	554	723
217	557	720
